YEAR	GRANT	INSTITUTE	APPLICATIONS	FUNDED	RATE	FUNDING
2015	F31	NIAMS	81	13	16.0	486791
2015	F31	NIBIB	33	3	9.1	113014
2015	F31	NICHD	132	18	13.6	675118
2015	F31	NIDA	124	29	23.4	1037799
2015	F31	NIDCD	83	31	37.3	1189208
2015	F31	NIDCR	30	15	50.0	546033
2015	F31	NIDDK	137	45	32.8	1660371
2015	F31	NIEHS	37	9	24.3	343983
2015	F31	NIGMS	361	53	14.7	1968462
2015	F31	NIMH	243	48	19.8	1720082
2015	F31	NIMHD	8	2	25.0	73440
2015	F31	NINDS	324	83	25.6	3045574
2015	F31	NINR	66	20	30.3	752357
2015	F31	NLM	1	1	100.0	36613
2015	F31	OD ORIP-SEPA	1	0	0.0	0
2015	F31	Total	2568	631	24.6	23014108
2015	F32	NCCIH	4	2	50.0	115812
2015	F32	NCI	221	43	19.5	2261682
2015	F32	NEI	75	21	28.0	1137981
2015	F32	NHGRI	4	2	50.0	106500
2015	F32	NHLBI	195	63	32.3	3628267
2015	F32	NIA	66	22	33.3	1185399
2015	F32	NIAAA	34	8	23.5	456508
2015	F32	NIAID	223	38	17.0	2050096
2015	F32	NIAMS	67	13	19.4	740367
2015	F32	NIBIB	28	8	28.6	426592
2015	F32	NICHD	112	13	11.6	708015
2015	F32	NIDA	58	14	24.1	749088
2015	F32	NIDCD	63	17	27.0	909268
2015	F32	NIDCR	13	4	30.8	214632
2015	F32	NIDDK	163	47	28.8	2672454
2015	F32	NIEHS	26	5	19.2	269242
2015	F32	NIGMS	412	132	32.0	6923598
2015	F32	NIMH	131	27	20.6	1452241
2015	F32	NINDS	178	43	24.2	2333174
2015	F32	NINR	4	0	0.0	0
2015	F32	Total	2077	522	25.1	28340916
2015	F33	NCI	1	0	0.0	0
2015	F33	NIAMS	2	0	0.0	0
2015	F33	NIGMS	3	1	33.3	62011
2015	F33	Total	6	1	16.7	62011
2016	F30	NCCIH	2	2	100.0	94152 
2016	F30	NCI	149	62	41.6	2448427 
2016	F30	NEI	20	9	45.0	407865 
2016	F30	NHGRI	1	0	0.0	0 
